year,marriage rate,divorce rate
1970,9.2,0.4
1971,7.3,0.3
1972,7.3,0.4
1973,7.6,0.4
1974,7.5,0.4
1975,8,0.5
1976,8,0.5
1977,8.3,0.6
1978,9.3,0.5
1979,9.4,0.5
1980,10.6,0.6
1981,10.5,0.6
1982,9.9,0.7
1983,10.3,0.7
1984,9.5,0.9
1985,9.4,0.9
1986,9.5,0.9
1987,9.4,1
1988,9.8,1
1989,9.7,1
1990,9.3,1.1
1991,9.6,1.1
1992,9.6,1.2
1993,9,1.3
1994,8.7,1.4
1995,8.7,1.5
1996,9.4,1.7
1997,8.4,2
1998,8,2.5
1999,7.6,2.5
2000,7,2.5
2001,6.7,2.8
2002,6.3,3
2003,6.3,3.4
2004,6.4,2.9
2005,6.5,2.6
2006,6.8,2.5
2007,7,2.5
2008,6.6,2.4
2009,6.2,2.5
2010,6.5,2.3
2011,6.6,2.3
2012,6.5,2.3
2013,6.4,2.3
2014,6,2.3
2015,5.9,2.1
2016,5.5,2.1
