year,total birthrate,total baby number,15-19,20-24,25-29,30-34,35-39,40-44,45-49
"1,960",,5467627.88,209857.2,1561944,1644118,1065571,714594.4,235441.2,36102.08
"1,965",,5710714.02,170157,1336342,2002580,1227266,707959.3,237185.8,29223.92
"1,970",,5735914.09,113621.6,1255095,2104201,1312155,704348.3,223543.9,22949.29
"1,975",,4456755.19,111251.6,1201530,1705276,896056.6,398747.2,132660.9,11232.89
"1,980",,4327713.11,123165.4,1598657,1887979,576082.8,126061,15767.91,0
"1,985",,4633892.11,99224.75,1662941,2206681,556854.2,97402.93,10788.23,0
"1,990",8.27,3360820.24,32728.01,872337.9,1933603,459437.8,50472.66,12240.87,0
"1,995",8.24,3396252.79,37841.68,687779.4,1816819,690461.6,145544.1,16403.76,1403.25
"2,000",7.419,2982729.499,25421.1,442437.1,1580530,746829.6,162452.7,23603.08,1455.919
"2,005",5.873,2232174.31,17247.5,209371.9,993806.2,805994.9,179327.4,24487.37,1939.04
"2,010",5.94,2121082.047,15477.46,126273.3,747583.6,924351.8,271583.3,33783.87,2028.717
"2,015",6.172,2160257.95,12908.33,120339.4,522249.2,1051986,396864.6,54153.73,1756.69
